model,outcome,event,horizon,beta,block_length,draws,seed,multiplier_se,critical90,critical95,sim90_low,sim90_high,sim95_low,sim95_high
single,lwti,military_conflict,17,0.0102798925685,6,1999,20260925,0.0484254661566,2.6154442729,2.87586922455,-0.116374215554,0.136934000691,-0.128985415236,0.149545200373
single,lwti,military_conflict,18,0.00186956874838,6,1999,20260925,0.0494732803845,2.6154442729,2.87586922455,-0.127525039095,0.131264176592,-0.140409115747,0.144148253244
single,lwti,military_conflict,19,0.0120770629934,6,1999,20260925,0.0514868206838,2.6154442729,2.87586922455,-0.122583847294,0.146737973281,-0.135992300081,0.160146426068
single,lwti,military_conflict,20,0.0351417038751,6,1999,20260925,0.0500095794217,2.6154442729,2.87586922455,-0.0956555642137,0.165938971964,-0.108679306516,0.178962714267
single,lwti,military_conflict,21,0.0275239358089,6,1999,20260925,0.0490614155497,2.6154442729,2.87586922455,-0.100793462511,0.155841334129,-0.113570279283,0.168618150901
single,lwti,military_conflict,22,0.0174347157956,6,1999,20260925,0.0509897264307,2.6154442729,2.87586922455,-0.115926072175,0.150795503766,-0.129205069215,0.164074500806
single,lwti,military_conflict,23,0.00833351203494,6,1999,20260925,0.0481197480274,2.6154442729,2.87586922455,-0.117521007357,0.134188031427,-0.13005259041,0.14671961448
single,lwti,military_conflict,24,0.00589755499183,6,1999,20260925,0.0480302059519,2.6154442729,2.87586922455,-0.119722772091,0.131517882075,-0.132231036154,0.144026146138
single,lwti,military_conflict,25,0.0277269569479,6,1999,20260925,0.0488527172526,2.6154442729,2.87586922455,-0.100044602606,0.155498516502,-0.112767069134,0.16822098303
single,lwti,military_conflict,26,0.0131240666597,6,1999,20260925,0.0471274288633,2.6154442729,2.87586922455,-0.110135097257,0.136383230577,-0.12240825564,0.14865638896
single,lwti,military_conflict,27,0.00492571627977,6,1999,20260925,0.0462645290709,2.6154442729,2.87586922455,-0.116076581317,0.125928013877,-0.128125019063,0.137976451623
single,lwti,military_conflict,28,-0.00426775842002,6,1999,20260925,0.0461913734452,2.6154442729,2.87586922455,-0.125078721555,0.116543204715,-0.137108107751,0.128572590911
single,lwti,military_conflict,29,0.00799319891409,6,1999,20260925,0.0441738546311,2.6154442729,2.87586922455,-0.107541056193,0.123527454021,-0.119045030149,0.135031427977
single,lwti,military_conflict,30,-0.00777190186023,6,1999,20260925,0.0433402670651,2.6154442729,2.87586922455,-0.121125955142,0.105582151421,-0.132412842096,0.116869038376
single,lwti,military_conflict,31,0.000996532934105,6,1999,20260925,0.0436537137613,2.6154442729,2.87586922455,-0.113177322714,0.115170388582,-0.124545839009,0.126538904878
single,lwti,military_conflict,32,-0.0205873655805,6,1999,20260925,0.0424875792614,2.6154442729,2.87586922455,-0.131711261429,0.0905365302684,-0.142776087204,0.101601356043
single,lwti,military_conflict,33,-0.0181954279841,6,1999,20260925,0.0433070139699,2.6154442729,2.87586922455,-0.131462509648,0.0950716536802,-0.142740736667,0.106349880699
