model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high,interpretation
single,post_2019,lwti,nuclear_threat,24,68,2019-01-01,2024-08-01,0.0356334678443,HC3,0.841740582464,0.0539251454693,0.508743773784,-0.0530655032647,0.124332438953,-0.0700578751365,0.141324810825,0.0471134925138,0.449449838237,-0.0418613311953,0.113128266884,-0.0567072806686,0.127974216357,Descriptive origin-month split; no independent-subsample difference test
single,pre_2008,lwti,nuclear_threat,48,213,1990-04-01,2007-12-01,-0.000675006797602,HC3,0.363063643203,0.0607225475865,0.991130701333,-0.100554709433,0.0992046958377,-0.119689013117,0.118338999521,0.0564943037284,0.990466920514,-0.0935998671873,0.0922498535921,-0.111401807437,0.110051793842,Descriptive origin-month split; no independent-subsample difference test
single,post_2008,lwti,nuclear_threat,48,176,2008-01-01,2022-08-01,-0.0286401702448,HC3,0.710076194125,0.0575800994202,0.61890910194,-0.123351005616,0.0660706651266,-0.141495091335,0.0842147508449,0.0548861935755,0.601802555651,-0.118919924817,0.0616395843273,-0.136215132901,0.0789347924116,Descriptive origin-month split; no independent-subsample difference test
single,pre_2012,lwti,nuclear_threat,48,261,1990-04-01,2011-12-01,0.00440726317168,HC3,0.320690853473,0.0723121128956,0.951400792543,-0.114535577997,0.123350104341,-0.13732187375,0.146136400093,0.0682668906391,0.948524885149,-0.107881779497,0.11669630584,-0.129393383818,0.138207910161,Descriptive origin-month split; no independent-subsample difference test
single,post_2012,lwti,nuclear_threat,48,128,2012-01-01,2022-08-01,-0.0162834223062,HC3,0.77045062149,0.0506089093485,0.747642010088,-0.0995276704041,0.0669608257917,-0.115475061926,0.0829082173137,0.0465636045674,0.726561761604,-0.0928737361628,0.0603068915503,-0.107546410249,0.0749795656362,Descriptive origin-month split; no independent-subsample difference test
single,pre_2019,lwti,nuclear_threat,48,345,1990-04-01,2018-12-01,-0.00467059569709,HC3,0.256576836281,0.0576601610478,0.935440260839,-0.0995131207272,0.0901719293331,-0.117682434694,0.108341243299,0.0563492510966,0.933941739207,-0.0973568657393,0.0880156743451,-0.115113098402,0.105771907008,Descriptive origin-month split; no independent-subsample difference test
single,post_2019,lwti,nuclear_threat,48,44,2019-01-01,2022-08-01,0.075055569651,HC3,0.874697233813,0.0875242105129,0.391146151222,-0.0689089454573,0.219020084759,-0.0964887307297,0.246599870032,0.0705495263638,0.287387305779,-0.0409880746682,0.19109921397,-0.0632189611484,0.21333010045,Descriptive origin-month split; no independent-subsample difference test
single,pre_2008,lbrent,military_conflict,0,213,1990-04-01,2007-12-01,0.0566144365059,HC3,0.384806455486,0.0544889315284,0.298801009379,-0.0330118801474,0.146240753159,-0.0501819068459,0.163410779858,0.0438495052408,0.196666313473,-0.0155115812295,0.128740454241,-0.029329014506,0.142557887518,Descriptive origin-month split; no independent-subsample difference test
single,post_2008,lbrent,military_conflict,0,219,2008-01-01,2026-03-01,0.0912762867357,HC3,0.653884391825,0.0450513350402,0.0427595943006,0.0171734348959,0.165379138576,0.0029772926015,0.17957528087,0.0368907621756,0.0133523135324,0.0305963827701,0.151956190701,0.0189717215093,0.163580851962,Descriptive origin-month split; no independent-subsample difference test
single,pre_2012,lbrent,military_conflict,0,261,1990-04-01,2011-12-01,0.052026172156,HC3,0.335352775189,0.0463957873064,0.262136561952,-0.0242881068702,0.128340451182,-0.0389078999989,0.142960244311,0.038318124254,0.174545187827,-0.0110015335013,0.115053877813,-0.0230759713371,0.127128315649,Descriptive origin-month split; no independent-subsample difference test
single,post_2012,lbrent,military_conflict,0,171,2012-01-01,2026-03-01,0.100414335797,HC3,0.697509667814,0.0493761863218,0.0419859680548,0.0191977366404,0.181630934953,0.00363878891216,0.197189882682,0.04067064152,0.0135504979972,0.0335170835822,0.167311588012,0.0207013431895,0.180127328404,Descriptive origin-month split; no independent-subsample difference test
