model,outcome,horizon,n,event,sw_conditional_F,conditional_df,residual_df,raw_wald_F_all_instruments,excluded_instruments,endogenous_regressors,covariance_assumption
joint,lbrent,8,429,diplomatic_tension,652.943782668,1,412,217.647927556,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,8,429,nuclear_threat,461.732499188,1,412,153.910833063,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,9,428,military_conflict,207.616800006,1,411,69.2056000021,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,9,428,diplomatic_tension,647.912988504,1,411,215.970996168,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,9,428,nuclear_threat,461.682714972,1,411,153.894238324,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,10,427,military_conflict,206.120777954,1,410,68.7069259846,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,10,427,diplomatic_tension,644.986032774,1,410,214.995344258,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,10,427,nuclear_threat,460.776250689,1,410,153.592083563,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,11,426,military_conflict,205.469315951,1,409,68.4897719838,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,11,426,diplomatic_tension,642.685606346,1,409,214.228535449,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,11,426,nuclear_threat,460.1691449,1,409,153.389714967,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,12,425,military_conflict,204.773221714,1,408,68.2577405712,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,12,425,diplomatic_tension,639.472185511,1,408,213.15739517,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,12,425,nuclear_threat,459.871795455,1,408,153.290598485,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,13,424,military_conflict,204.805085088,1,407,68.2683616961,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,13,424,diplomatic_tension,636.957905993,1,407,212.319301998,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,13,424,nuclear_threat,459.261510233,1,407,153.087170078,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,14,423,military_conflict,202.592097667,1,406,67.5306992224,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,14,423,diplomatic_tension,624.607856596,1,406,208.202618865,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,14,423,nuclear_threat,454.144484132,1,406,151.381494711,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,15,422,military_conflict,198.361323676,1,405,66.1204412255,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,15,422,diplomatic_tension,629.859184124,1,405,209.953061375,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,15,422,nuclear_threat,453.171500364,1,405,151.057166788,3,3,homoskedastic Sanderson-Windmeijer correction
